epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,8.89123,2.0991,2.51581,3.89134,0.11641,0.16724,0.15909,0.10369,0.0317,2.28691,2.62741,4.30873,0.01917,0.000555556,0.000555556,0.000555556
2,17.4663,1.82448,2.15877,3.49126,0.05956,0.16724,0.15909,0.10369,0.0317,2.28691,2.62741,4.30873,0.01917,0.00119802,0.00119802,0.00119802
3,25.4205,1.88027,2.14549,3.54597,0.0669,0.16724,0.15909,0.10369,0.0317,2.28691,2.62741,4.30873,0.01917,0.00181409,0.00181409,0.00181409
4,33.9864,1.647,1.79553,2.86149,0.04814,0.39601,0.76004,0.39267,0.13219,1.80268,15.5094,4.42718,0.01346,0.0018812,0.0018812,0.0018812
5,42.22,1.62295,1.80254,2.70658,0.03114,0.39601,0.76004,0.39267,0.13219,1.80268,15.5094,4.42718,0.01346,0.0018416,0.0018416,0.0018416
6,50.3197,1.71679,1.90203,2.86516,0.03377,0.02667,0.18182,0.00526,0.00108,1.68563,3.71862,3.72017,0.02609,0.001802,0.001802,0.001802
7,60.0111,1.73086,2.08602,2.77776,0.03544,0.02667,0.18182,0.00526,0.00108,1.68563,3.71862,3.72017,0.02609,0.0017624,0.0017624,0.0017624
8,70.1593,1.48799,2.08577,2.56391,0.04655,0.02667,0.18182,0.00526,0.00108,1.68563,3.71862,3.72017,0.02609,0.0017228,0.0017228,0.0017228
9,79.8657,1.63754,1.91665,2.94338,0.03833,0.61581,0.31818,0.35326,0.10833,1.71851,3.05526,3.61281,0.02141,0.0016832,0.0016832,0.0016832
10,88.8156,1.69442,1.72662,2.94646,0.02654,0.61581,0.31818,0.35326,0.10833,1.71851,3.05526,3.61281,0.02141,0.0016436,0.0016436,0.0016436
11,98.0984,1.58421,1.66088,2.7481,0.02001,0.76626,1,0.84544,0.44857,1.1693,3.61921,3.27153,0.01536,0.001604,0.001604,0.001604
12,106.65,1.41888,1.50779,2.61809,0.02698,0.76626,1,0.84544,0.44857,1.1693,3.61921,3.27153,0.01536,0.0015644,0.0015644,0.0015644
13,114.56,1.45169,1.47733,2.83481,0.01943,0.76626,1,0.84544,0.44857,1.1693,3.61921,3.27153,0.01536,0.0015248,0.0015248,0.0015248
14,122.583,1.23913,1.31368,2.60139,0.01727,0.7068,1,0.85004,0.46528,1.18097,4.97843,3.20439,0.01453,0.0014852,0.0014852,0.0014852
15,130.754,1.28199,1.42726,2.67419,0.01964,0.7068,1,0.85004,0.46528,1.18097,4.97843,3.20439,0.01453,0.0014456,0.0014456,0.0014456
16,138.747,1.2882,1.25653,2.606,0.01838,0.60225,0.82598,0.69905,0.24016,1.7326,4.10444,3.54438,0.01342,0.001406,0.001406,0.001406
17,146.713,1.16843,1.20975,2.44737,0.02126,0.60225,0.82598,0.69905,0.24016,1.7326,4.10444,3.54438,0.01342,0.0013664,0.0013664,0.0013664
18,154.523,1.28938,1.30881,2.54931,0.02318,0.60225,0.82598,0.69905,0.24016,1.7326,4.10444,3.54438,0.01342,0.0013268,0.0013268,0.0013268
19,163.535,1.20748,1.24528,2.43436,0.01818,0.56305,0.7908,0.69384,0.207,1.63804,3.77387,3.30137,0.01377,0.0012872,0.0012872,0.0012872
20,173.67,1.35719,1.22889,2.6364,0.01672,0.56305,0.7908,0.69384,0.207,1.63804,3.77387,3.30137,0.01377,0.0012476,0.0012476,0.0012476
21,182.2,1.26977,1.16514,2.34385,0.02031,0.6217,0.67242,0.71733,0.28362,1.44621,2.85204,3.21462,0.0146,0.001208,0.001208,0.001208
22,190.302,1.1396,1.095,2.36421,0.01751,0.6217,0.67242,0.71733,0.28362,1.44621,2.85204,3.21462,0.0146,0.0011684,0.0011684,0.0011684
23,198.444,1.27671,1.20036,2.53257,0.01617,0.6217,0.67242,0.71733,0.28362,1.44621,2.85204,3.21462,0.0146,0.0011288,0.0011288,0.0011288
24,206.341,1.13373,1.07355,2.21657,0.01702,0.66008,0.92687,0.84514,0.39354,1.27323,2.19431,3.17773,0.01348,0.0010892,0.0010892,0.0010892
25,214.423,1.03499,1.02647,2.19423,0.02009,0.66008,0.92687,0.84514,0.39354,1.27323,2.19431,3.17773,0.01348,0.0010496,0.0010496,0.0010496
26,222.389,1.09449,1.18744,2.44724,0.02024,0.73953,0.77437,0.85039,0.41944,1.2541,1.97652,3.18205,0.01389,0.00101,0.00101,0.00101
27,231.219,1.12378,1.12335,2.52117,0.02282,0.73953,0.77437,0.85039,0.41944,1.2541,1.97652,3.18205,0.01389,0.0009704,0.0009704,0.0009704
28,239.739,1.1673,1.04564,2.49854,0.01654,0.73953,0.77437,0.85039,0.41944,1.2541,1.97652,3.18205,0.01389,0.0009308,0.0009308,0.0009308
29,247.895,0.96439,0.98778,2.32237,0.01294,0.7086,0.93961,0.899,0.40847,1.21127,1.7835,3.10199,0.01409,0.0008912,0.0008912,0.0008912
30,255.518,1.07469,1.06926,2.353,0.01771,0.7086,0.93961,0.899,0.40847,1.21127,1.7835,3.10199,0.01409,0.0008516,0.0008516,0.0008516
31,264.946,1.08539,1.04601,2.34075,0.02106,0.81918,0.95455,0.94573,0.4176,1.2459,1.65228,2.96566,0.01379,0.000812,0.000812,0.000812
32,274.89,1.07573,0.9406,2.26116,0.01861,0.81918,0.95455,0.94573,0.4176,1.2459,1.65228,2.96566,0.01379,0.0007724,0.0007724,0.0007724
33,284.619,1.15172,0.96864,2.34503,0.01786,0.81918,0.95455,0.94573,0.4176,1.2459,1.65228,2.96566,0.01379,0.0007328,0.0007328,0.0007328
34,295.093,1.11072,0.93176,2.2722,0.02017,0.77899,0.96135,0.92565,0.45713,1.2675,1.6178,2.92984,0.0144,0.0006932,0.0006932,0.0006932
35,304.37,0.99183,0.92669,2.13777,0.01692,0.77899,0.96135,0.92565,0.45713,1.2675,1.6178,2.92984,0.0144,0.0006536,0.0006536,0.0006536
36,313.579,1.09028,0.91946,2.43478,0.0179,0.81305,0.9885,0.92636,0.47392,1.20327,1.4937,2.90828,0.01447,0.000614,0.000614,0.000614
37,323.252,1.11888,0.94493,2.49889,0.0127,0.81305,0.9885,0.92636,0.47392,1.20327,1.4937,2.90828,0.01447,0.0005744,0.0005744,0.0005744
38,332.119,0.96415,0.82573,2.21362,0.01496,0.81305,0.9885,0.92636,0.47392,1.20327,1.4937,2.90828,0.01447,0.0005348,0.0005348,0.0005348
39,341.682,1.04213,0.91003,2.37378,0.01655,0.89436,0.95455,0.96591,0.50002,1.13135,1.34842,2.897,0.01387,0.0004952,0.0004952,0.0004952
40,350.644,0.97927,0.87516,2.04891,0.01423,0.89436,0.95455,0.96591,0.50002,1.13135,1.34842,2.897,0.01387,0.0004556,0.0004556,0.0004556
41,359.845,1.12295,1.491,2.85877,0.01436,0.88259,1,0.97799,0.52137,1.06563,1.29838,2.90985,0.01362,0.000416,0.000416,0.000416
42,369.793,1.21172,1.60322,2.97539,0.01542,0.88259,1,0.97799,0.52137,1.06563,1.29838,2.90985,0.01362,0.0003764,0.0003764,0.0003764
43,378.905,1.17035,1.58614,2.76769,0.01402,0.88259,1,0.97799,0.52137,1.06563,1.29838,2.90985,0.01362,0.0003368,0.0003368,0.0003368
44,387.55,1.24544,1.46608,2.84119,0.0174,0.87577,1,0.9737,0.54595,1.02108,1.31626,2.91508,0.01368,0.0002972,0.0002972,0.0002972
45,395.91,1.04757,1.43702,2.76271,0.01471,0.87577,1,0.9737,0.54595,1.02108,1.31626,2.91508,0.01368,0.0002576,0.0002576,0.0002576
46,404.577,1.21759,1.46508,2.84428,0.01562,0.90703,1,0.97827,0.57335,0.98613,1.31494,2.8933,0.01364,0.000218,0.000218,0.000218
47,412.604,1.06902,1.3038,2.69087,0.01444,0.90703,1,0.97827,0.57335,0.98613,1.31494,2.8933,0.01364,0.0001784,0.0001784,0.0001784
48,420.948,1.07984,1.29373,2.72536,0.01429,0.90703,1,0.97827,0.57335,0.98613,1.31494,2.8933,0.01364,0.0001388,0.0001388,0.0001388
49,429.381,1.06624,1.26255,2.75731,0.01448,0.90691,1,0.97658,0.5766,0.96447,1.30461,2.87861,0.01356,9.92e-05,9.92e-05,9.92e-05
50,437.828,1.02457,1.26635,2.60003,0.01352,0.90691,1,0.97658,0.5766,0.96447,1.30461,2.87861,0.01356,5.96e-05,5.96e-05,5.96e-05
