file,tilt_deg,total_faults,hotspots,line_faults,partial_shading,affected_area_pct,health_score,notes
1.jpg,0.1,8,8,0,0,1.33,63.8,
10.jpg,0.3,4,4,0,0,0.51,81.6,
11.jpg,-0.7,4,4,0,0,0.54,79.5,
12.jpg,0.0,5,5,0,0,0.42,72.5,
13.jpg,0.2,9,8,0,1,0.98,65.3,
14.jpg,-0.7,8,8,0,0,0.62,64.6,
15.jpg,0.6,3,3,0,0,0.16,77.6,
16.jpg,-0.2,4,4,0,0,0.19,76.3,
17.jpg,2.4,3,3,0,0,0.17,78.4,
18.jpg,-0.7,10,10,0,0,0.73,58.9,
19.jpg,-0.8,11,11,0,0,0.78,58.3,
2.jpg,-0.1,8,8,0,0,1.0,61.6,
20.jpg,-0.7,3,3,0,0,0.22,79.3,
21.jpg,-0.7,10,9,0,1,0.43,64.1,
22.jpg,-0.6,13,13,0,0,0.85,63.3,
23.jpg,-0.7,3,3,0,0,0.5,84.2,
24.jpg,-1.6,3,3,0,0,0.21,78.1,
25.jpg,-0.8,3,3,0,0,0.19,74.4,
26.jpg,3.1,4,4,0,0,0.38,78.1,
27.jpg,0.0,7,7,0,0,0.79,75.3,
28.jpg,-1.5,18,18,0,0,2.27,61.8,
29.jpg,-0.7,15,15,0,0,0.69,58.6,
3.jpg,-0.3,6,6,0,0,0.74,71.8,
30.jpg,-1.2,17,17,0,0,1.23,65.7,
31.jpg,0.1,35,35,0,0,1.11,61.1,
32.jpg,0.0,3,3,0,0,0.12,74.5,
33.jpg,0.1,7,6,0,1,0.82,65.3,
34.jpg,-0.5,68,66,0,2,2.54,58.4,
35.jpg,-1.2,1,1,0,0,0.14,84.4,
36.jpg,-0.4,3,3,0,0,0.18,81.8,
37.jpg,-0.4,1,1,0,0,0.17,89.9,
38.jpg,-1.0,129,129,0,0,4.01,49.2,
39.jpg,0.0,19,19,0,0,2.25,52.3,
4.jpg,-0.5,7,7,0,0,0.39,66.9,
40.jpg,0.0,23,23,0,0,2.73,57.1,
41.jpg,0.2,89,89,0,0,4.13,51.5,
42.jpg,0.0,154,154,0,0,7.68,53.6,
43.jpg,-0.7,67,67,0,0,4.93,61.1,
44.jpg,0.1,70,70,0,0,4.77,51.8,
45.jpg,10.5,30,30,0,0,2.96,47.9,
46.jpg,0.7,90,90,0,0,4.66,54.7,
47.jpg,-0.4,7,6,0,1,0.7,72.5,
48.jpg,-1.2,55,54,0,1,2.14,52.1,
49.jpg,0.8,40,39,0,1,2.16,52.8,
5.jpg,-0.8,6,6,0,0,0.42,72.4,
50.jpg,1.3,16,16,0,0,1.07,62.3,
51.jpg,-0.4,21,21,0,0,3.12,61.5,
52.jpg,-3.7,26,26,0,0,3.64,60.9,
53.jpg,-1.3,5,5,0,0,0.56,80.9,
54.jpg,4.8,3,3,0,0,0.58,84.5,
6.jpg,-0.7,5,4,0,1,0.54,78.5,
7.jpg,0.0,2,1,0,1,0.13,85.0,
8.jpg,-0.5,8,8,0,0,0.75,69.4,
9.jpg,-0.9,3,3,0,0,0.78,79.6,
