epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.232,2.09171,3.41575,1.80251,0.01048,0.21717,0.03165,0.01171,1.97628,3.51758,1.66492,0,0,0
2,21.0816,2.15415,3.37292,1.77531,0.01048,0.21717,0.03165,0.01171,1.97628,3.51758,1.66492,0.000466902,0.000466902,0.000466902
3,29.1865,1.73577,3.35588,1.65626,0.01048,0.21717,0.03165,0.01171,1.97628,3.51758,1.66492,0.000914941,0.000914941,0.000914941
4,36.1701,1.82697,3.31471,1.67436,0.01213,0.27778,0.1165,0.04966,2.31987,3.35299,2.2472,0.00134412,0.00134412,0.00134412
5,42.8597,1.5317,2.78458,1.38729,0.01213,0.27778,0.1165,0.04966,2.31987,3.35299,2.2472,0.00131582,0.00131582,0.00131582
6,49.7772,1.68535,2.78969,1.45171,0.01213,0.27778,0.1165,0.04966,2.31987,3.35299,2.2472,0.00128753,0.00128753,0.00128753
7,57.3682,1.67013,2.81583,1.49827,0.78978,0.12128,0.10223,0.04108,2.19021,2.81034,2.30712,0.00125923,0.00125923,0.00125923
8,64.5338,1.34546,2.36484,1.37329,0.78978,0.12128,0.10223,0.04108,2.19021,2.81034,2.30712,0.00123094,0.00123094,0.00123094
9,71.2761,1.37504,2.41547,1.37076,0.78978,0.12128,0.10223,0.04108,2.19021,2.81034,2.30712,0.00120265,0.00120265,0.00120265
10,78.4499,1.48898,2.31628,1.43383,0.78966,0.11111,0.1246,0.05606,2.03401,2.97221,2.17863,0.00117435,0.00117435,0.00117435
11,86.149,1.17466,1.62072,1.25843,0.78966,0.11111,0.1246,0.05606,2.03401,2.97221,2.17863,0.00114606,0.00114606,0.00114606
12,94.8386,1.36375,1.7338,1.29603,0.78966,0.11111,0.1246,0.05606,2.03401,2.97221,2.17863,0.00111776,0.00111776,0.00111776
13,103.973,1.3054,1.70559,1.31832,0.01606,0.28788,0.06296,0.02062,2.07504,2.96371,2.0407,0.00108947,0.00108947,0.00108947
14,111.93,1.21366,1.54961,1.23318,0.01606,0.28788,0.06296,0.02062,2.07504,2.96371,2.0407,0.00106118,0.00106118,0.00106118
15,119.563,1.14035,1.88412,1.24346,0.01606,0.28788,0.06296,0.02062,2.07504,2.96371,2.0407,0.00103288,0.00103288,0.00103288
16,127.007,1.02736,1.53677,1.19218,0.74979,0.07576,0.0644,0.02731,1.84631,3.14583,1.82474,0.00100459,0.00100459,0.00100459
17,134.712,1.13162,1.93682,1.23796,0.74979,0.07576,0.0644,0.02731,1.84631,3.14583,1.82474,0.000976293,0.000976293,0.000976293
18,142.946,1.13294,1.70963,1.24906,0.74979,0.07576,0.0644,0.02731,1.84631,3.14583,1.82474,0.000947999,0.000947999,0.000947999
19,150.46,1.13757,1.86216,1.23303,0.77286,0.14646,0.10771,0.05718,1.70961,2.70474,1.64226,0.000919704,0.000919704,0.000919704
20,157.556,1.11418,1.43322,1.24773,0.77286,0.14646,0.10771,0.05718,1.70961,2.70474,1.64226,0.00089141,0.00089141,0.00089141
21,165.142,1.12229,1.45958,1.20262,0.77286,0.14646,0.10771,0.05718,1.70961,2.70474,1.64226,0.000863116,0.000863116,0.000863116
22,173.814,1.21095,1.65262,1.2669,0.87018,0.16162,0.1614,0.09115,1.52395,2.50323,1.53839,0.000834822,0.000834822,0.000834822
23,183.009,0.93508,1.32983,1.15888,0.87018,0.16162,0.1614,0.09115,1.52395,2.50323,1.53839,0.000806528,0.000806528,0.000806528
24,190.737,0.93033,1.45485,1.15734,0.87018,0.16162,0.1614,0.09115,1.52395,2.50323,1.53839,0.000778233,0.000778233,0.000778233
25,198.193,0.95775,1.2823,1.14302,0.86769,0.16116,0.20122,0.13582,1.40946,2.33874,1.38558,0.000749939,0.000749939,0.000749939
26,205.896,0.91491,1.2568,1.12865,0.86769,0.16116,0.20122,0.13582,1.40946,2.33874,1.38558,0.000721645,0.000721645,0.000721645
27,212.789,0.92134,1.33698,1.1316,0.86769,0.16116,0.20122,0.13582,1.40946,2.33874,1.38558,0.000693351,0.000693351,0.000693351
28,219.595,1.01542,1.41803,1.16902,0.842,0.24662,0.22385,0.15434,1.34183,2.18483,1.33914,0.000665057,0.000665057,0.000665057
29,226.215,0.88496,1.47135,1.20442,0.842,0.24662,0.22385,0.15434,1.34183,2.18483,1.33914,0.000636762,0.000636762,0.000636762
30,233.223,0.96734,1.20656,1.08955,0.842,0.24662,0.22385,0.15434,1.34183,2.18483,1.33914,0.000608468,0.000608468,0.000608468
31,241.681,1.06568,1.42292,1.28837,0.92754,0.25253,0.25779,0.17935,1.37037,2.13939,1.32577,0.000580174,0.000580174,0.000580174
32,249.685,0.90453,1.1599,1.10433,0.92754,0.25253,0.25779,0.17935,1.37037,2.13939,1.32577,0.00055188,0.00055188,0.00055188
33,259.198,0.98766,1.17282,1.12799,0.92754,0.25253,0.25779,0.17935,1.37037,2.13939,1.32577,0.000523586,0.000523586,0.000523586
34,267.885,0.94953,1.19421,1.11811,0.9162,0.24242,0.2486,0.17482,1.46273,2.15598,1.33093,0.000495291,0.000495291,0.000495291
35,275.646,0.92874,1.21071,1.10209,0.9162,0.24242,0.2486,0.17482,1.46273,2.15598,1.33093,0.000466997,0.000466997,0.000466997
36,283.336,0.80223,1.12503,1.11548,0.9162,0.24242,0.2486,0.17482,1.46273,2.15598,1.33093,0.000438703,0.000438703,0.000438703
37,290.942,0.89773,1.11635,1.13575,0.91164,0.24242,0.25835,0.18475,1.41116,2.11504,1.25547,0.000410409,0.000410409,0.000410409
38,298.242,0.82276,0.97311,1.0528,0.91164,0.24242,0.25835,0.18475,1.41116,2.11504,1.25547,0.000382115,0.000382115,0.000382115
39,305.435,0.90934,1.03689,1.07754,0.91164,0.24242,0.25835,0.18475,1.41116,2.11504,1.25547,0.00035382,0.00035382,0.00035382
40,312.556,0.93404,1.09736,1.08353,0.9391,0.24852,0.27226,0.20038,1.28885,1.98846,1.17063,0.000325526,0.000325526,0.000325526
